@,@id,Start,Timestamp,Username,Source,Osm id,Name of Facility,Address,Phone Number,Operator Type,Facility Operator Name,Facility Location / latitude,Facility Location / longitude,Facility Location / altitude,Facility Location / accuracy,Operational Status,When is the facility open?,Which days is this facility open?,Open hours by day of the week / Enter open hours for each day:,Open hours by day of the week / Monday open hours,Open hours by day of the week / Tuesday open hours,Open hours by day of the week / Wednesday open hours,Open hours by day of the week / Thursday open hours,Open hours by day of the week / Friday open hours,Open hours by day of the week / Saturday open hours,Open hours by day of the week / Sunday open hours,Open hours by day of the week / Public Holiday open hours,Open hours by day of the week / Select hours,Enter weekday hours,OSM 'opening_hours',Opening hours,Verify the open hours are correct or go back and fix:,Facility Category,Available Services,Specialities,Speciality medical equipment available,Does this facility provide Emergency Services?,Does the pharmacy dispense prescription medication?,Number of Beds,Number of Doctors,Number of Nurses,Types of insurance accepted?,Is this facility wheelchair accessible?,What is the source of water for this facility?,What is the source of power for this facility?,URL for this location (if available),In which health are is the facility located?,In which health zone is the facility located?,UUID
1,34c71b23-6fad-47ab-898e-220f646aa4b4,2019-07-18T15:47:36.297000+00:00,2019-07-18T16:52:52.399000+00:00,FINI6caroline,HS-Gather-2019-Senegal,6f3c7899-0d98-41b1-a069-42a32d33e33f,Pharmacie Mouhammad Rassoul,Cité vauvert Khor,+221339612727,private,Dr Aminata Keita Dramé,16.03292006,-16.47092303,34,5,operational,oh_select,Mo Tu We Th Fr Sa Su,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,08:00-08:00,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su 08:00-08:00; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su 08:00-08:00; PH off,,pharmacy,pharmacy,,,no,yes,0,1,0,public private,yes,powered_pump,grid,,,,68ab1fbb-38fd-4451-853e-4fc901a71998
2,0483ec81-8ff3-48ac-b2dd-9d79485c7a3a,2019-07-18T15:26:52.064000+00:00,2019-07-18T16:52:41.696000+00:00,FINI6caroline,HS-Gather-2019-Senegal,a7ab064a-63e5-43d7-a5d6-87898f4732d1,Poste de santé de khor,Khor,,public,Ministère de la santé,16.03312341,-16.47151588,34,5,operational,oh_weekday,,,,,,,,,,,,08:00-18:00,,Mo-Fr 08:00-18:00; PH off,,doctors,doctor pharmacy birthing_center,,emergency_department ultrasound,no,,,1,,private,yes,powered_pump,grid,,,,a44c0737-8df0-4803-b16a-94e72340b0b6
3,54e2e0e2-6224-4fe4-84b8-43b7ffe32283,2019-07-18T14:48:19.587000+00:00,2019-07-18T16:52:26.316000+00:00,FINI6caroline,HS-Gather-2019-Senegal,89add606-5e76-4ddd-9860-b02704bb61f2,Centre medical de Deh Momar Gary,Bango,,public,Ministère des forces armées,16.06262477,-16.4562459,36,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,doctor pharmacy dentist laboratory,,laboratory x_ray,no,,40,6,15,public private,yes,powered_pump,grid,,,,4c6dd3fd-0754-447c-b15d-26e8aeedb027
4,38428abc-5c7f-49c1-9a0c-50f70965b43d,2019-07-18T13:50:59.849000+00:00,2019-07-18T16:52:05.199000+00:00,FINI6caroline,HS-Gather-2019-Senegal,1e5afd28-9aa0-4261-bca4-8b364b550e27,Infirmerie privée Yaye Bineta,Bango,+221339614802,private,Elhadj Seck,16.0645827,-16.45016089,29,5,operational,oh_select,Mo Tu We Th Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",09:00-13:00,09:00-13:00,09:00-13:00,09:00-13:00,,09:00-13:00,,,Mo 09:00-13:00; Tu 09:00-13:00; We 09:00-13:00; Th 09:00-13:00; Fr off; Sa 09:00-13:00; Su off; PH off,,,Mo 09:00-13:00; Tu 09:00-13:00; We 09:00-13:00; Th 09:00-13:00; Fr off; Sa 09:00-13:00; Su off; PH off,,doctors,clinic doctor,,emergency_department,yes,,1,1,1,no,yes,powered_pump,grid,,,,ecdbef64-038c-4374-b6b2-58428ad71348
5,a72d8e59-c22b-441c-a0c6-8ff33a64df4b,2019-07-18T13:31:19+00:00,2019-07-18T16:51:49.610000+00:00,FINI6caroline,HS-Gather-2019-Senegal,2c35d05e-b0ba-478b-8187-7fff7a5b8506,Poste de santé de Bango,"Bango, Saint-Louis",,public,Ministère de la santé,16.06594949,-16.45134517,30,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,doctors,doctor pharmacy birthing_center,,ultrasound emergency_department,yes,,7,0,1,private,yes,powered_pump,grid,,,,5347a701-5262-4d39-ad5c-1ff818e0cdce
6,5d6ef28e-61d6-4acb-911d-bcd0feda9e20,2019-07-18T12:36:15.707000+00:00,2019-07-18T16:51:12.175000+00:00,FINI6caroline,HS-Gather-2019-Senegal,1069a91a-03bb-4fe4-8dce-33c9371e0a5e,Case de santé de Maka toubé,Maka toubé,,public,Ministère de la santé,16.01891604,-16.44632827,23,5,operational,oh_weekday,,,,,,,,,,,,09:00-13:00,,Mo-Fr 09:00-13:00; PH off,,doctors,doctor pharmacy,,,no,,1,0,2,no,yes,powered_pump,grid,,,,30d41473-1c81-421b-b263-49b034fc14fc
7,7bff72de-c7d2-4580-8f9b-3503336c2875,2019-07-18T10:46:09.407000+00:00,2019-07-18T16:50:39.303000+00:00,FINI6caroline,HS-Gather-2019-Senegal,81c03458-f29a-4d4d-80b5-ce036692d678,CERPAD (Centre de Recherche et de Prise en charge Ambulatoire de la Drépanocytose),Université Gaston Berger de Saint Louis,+221776806969,public,Ministère de la santé,16.04929,-16.43338141,39,5,operational,oh_weekday,,,,,,,,,,,,08:00-17:00,,Mo-Fr 08:00-17:00; PH off,,doctors,doctor,,laboratory,yes,,6,5,7,no,yes,powered_pump,grid,Http://ugb.sn,,,3a5ca345-b93c-407b-b9a2-d16f3acf9752
8,de8a03f7-9ec2-45f0-9a75-4ee322583921,2019-07-18T09:36:17.311000+00:00,2019-07-18T16:48:29.803000+00:00,FINI6caroline,HS-Gather-2019-Senegal,b7321bc3-bf62-40aa-a0b3-9e25881e2b43,Service Medico social des Etudiants CROUS,Université Gaston Berger de Saint Louis,+221771691174,public,Ministere de l'enseignement supérieure,16.06672289,-16.42653633,37,5,operational,oh_24_7,,,,,,,,,,,,,,24/7,,hospital,doctor pharmacy hospital dentist laboratory birthing_center,,laboratory emergency_department,yes,,7,2,6,no,yes,powered_pump,grid,,,,35ab6794-f586-4ab7-acef-3f5e5aafb5ac
9,3564bb0a-51f2-4e7c-a5fa-3b93ee97c0ad,2019-07-17T16:54:07.188000+00:00,2019-07-17T18:37:04.753000+00:00,FINI6caroline,HS-Gather-2019-Senegal,e42c8d45-3916-4625-b72a-98992623499b,Pharmacie Amadou,Ngallele Nord,+221339620444,private,Dr Abibatou Wade,16.04096354,-16.442557,45,5,operational,oh_select,Mo Tu We Th Fr Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,pharmacy,pharmacy,,,no,yes,0,2,0,private,yes,powered_pump,grid,,,,21bc2275-bd68-4b64-bd71-ea07ff0b098d
10,adbe3d2b-2d90-4402-a44b-584f9b9aab5b,2019-07-17T16:37:05.023000+00:00,2019-07-17T18:35:04.666000+00:00,FINI6caroline,HS-Gather-2019-Senegal,e5a49957-f908-4819-b9cf-3c8dcf239c17,Pharmacie AlHassan Salam,Boudiouck près de la station elton,+221339613361,private,Adji Seynabou Sow,16.04769819,-16.43318603,28,5,operational,oh_select,Mo Tu We Th Fr Sa,"09:00-18:30
08:00-11:00,12:30-15:00
sunrise-sunset",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-13:00,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,,Mo 08:00-22:00; Tu 08:00-22:00; We 08:00-22:00; Th 08:00-22:00; Fr 08:00-22:00; Sa 08:00-13:00; Su off; PH off,,pharmacy,pharmacy doctor,,,no,yes,0,1,0,unknown,yes,powered_pump,grid,,,,889bac71-6dbb-403e-81ed-96c26a3dc44d
